StockCode,Description,ABC,DailyDemand,AnnualDemand,AvgUnitPrice,EOQ,SafetyStock,ReorderPoint,MaxStock,OverstockRisk,StockoutRisk,SlowMoving
23843,"PAPER CRAFT , LITTLE BIRDIE",A,80995.0,29563175.0,2.08,78874.86,0.0,593093.98,671968.84,True,False,False
22423,REGENCY CAKESTAND 3 TIER,A,33.25,12136.01,12.48,652.76,194.0,446.68,1099.44,False,False,False
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,98.35,35896.87,2.89,2330.68,1053.0,1821.24,4151.91,False,False,False
85099B,JUMBO BAG RED RETROSPOT,A,123.81,45190.52,2.02,3131.98,822.0,1766.84,4898.82,False,False,False
23166,MEDIUM CERAMIC TOP STORAGE JAR,A,239.74,87505.66,1.22,5602.84,30199.0,33346.07,38948.91,True,False,False
47566,PARTY BUNTING,A,41.22,15043.71,4.88,1162.2,268.0,582.67,1744.87,False,False,False
84879,ASSORTED COLOUR BIRD ORNAMENT,A,94.55,34511.04,1.68,2998.08,990.0,1728.13,4726.22,False,False,False
23084,RABBIT NIGHT LIGHT,A,127.71,46613.76,2.01,3183.24,2044.0,3073.4,6256.64,False,False,False
22502,PICNIC BASKET WICKER SMALL,A,4.98,1816.45,11.2,266.75,80.0,120.3,387.05,False,False,False
79321,CHILLI LIGHTS,A,25.8,9417.78,5.43,871.39,342.0,547.1,1418.49,False,False,False
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,41.76,15241.19,2.94,1507.41,600.0,933.11,2440.52,False,False,False
21137,BLACK RECORD COVER FRAME,A,30.58,11161.37,3.66,1154.88,558.0,807.58,1962.46,False,False,False
23203,JUMBO BAG DOILEY PATTERNS,A,90.77,33131.81,2.06,2656.01,561.0,1251.12,3907.13,False,False,False
22386,JUMBO BAG PINK POLKADOT,A,53.92,19679.75,2.02,2066.02,471.0,887.08,2953.1,False,False,False
22197,SMALL POPCORN HOLDER,A,131.51,47999.45,0.84,5003.43,1681.0,2721.91,7725.34,False,False,False
23298,SPOTTY BUNTING,A,35.55,12975.0,4.92,1074.33,219.0,489.57,1563.9,False,False,False
23284,DOORMAT KEEP CALM AND COME IN,A,23.64,8627.57,7.91,690.42,308.0,494.8,1185.22,False,False,False
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,15.87,5794.01,7.46,582.67,350.0,482.25,1064.92,False,False,False
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,A,19.45,7097.78,4.95,791.89,238.0,391.24,1183.12,False,False,False
22960,JAM MAKING SET WITH JARS,A,21.85,7976.18,4.18,913.23,148.0,314.87,1228.1,False,False,False
85099F,JUMBO BAG STRAWBERRY,A,45.06,16446.53,2.01,1893.42,496.0,848.38,2741.79,False,False,False
22178,VICTORIAN GLASS HANGING T-LIGHT,A,59.98,21893.17,1.43,2588.02,472.0,933.11,3521.12,False,False,False
22470,HEART OF WICKER LARGE,A,25.71,9385.29,2.96,1178.94,517.0,729.12,1908.06,False,False,False
20725,LUNCH BAG RED RETROSPOT,A,47.85,17466.32,1.66,2146.57,269.0,631.84,2778.4,False,False,False
22469,HEART OF WICKER SMALL,A,44.85,16371.32,1.64,2091.13,616.0,972.86,3063.99,False,False,False
